experiment_key,lot_number,family,stage,mae,rmse,mean_shift_absolute_error,residual_profile_mae,residual_profile_rmse
2024-07-19_07,5,gpr,full_map,0.04928232241484944,0.07507205858520935,0.007880142170829925,0.050629888764532414,0.07465733279182032
2024-07-19_08,5,gpr,template,0.5120738692019584,0.5363628616758322,0.5120738692019584,0.1297764261829167,0.1595790458225123
2024-07-19_08,5,gpr,mean_shift,0.1689917269597995,0.23098540676223533,0.16699936009306088,0.1297764261829167,0.1595790458225123
2024-07-19_08,5,gpr,full_map,0.1669993600930565,0.1847076269028857,0.1669993600930565,0.062025689316409074,0.07891844628859139
2024-07-19_09,5,gpr,template,0.44858398156150947,0.48884623828577684,0.44858398156150947,0.15908012974274985,0.19427572203591958
2024-07-19_09,5,gpr,mean_shift,0.2581010350004548,0.32304674652576815,0.2581010350004548,0.15908012974274835,0.1942757220359196
2024-07-19_09,5,gpr,full_map,0.2581010350004506,0.2985358332171278,0.2581010350004506,0.12246356544951845,0.150024996071791
2024-07-19_10,5,gpr,template,0.6554749927974642,0.6833162087325146,0.6554749927974642,0.1578220310178408,0.19306365513410775
2024-07-19_10,5,gpr,mean_shift,0.16402685617342347,0.23445991311658726,0.13303336395391932,0.1578220310178408,0.19306365513410775
2024-07-19_10,5,gpr,full_map,0.13303336395391516,0.15771370769914586,0.13303336395391516,0.06569113038697937,0.0847097259546787
2024-08-01_01,6,ridge,template,0.13164242146296776,0.1849389136464223,0.11663811052510908,0.08659832066142921,0.14351986954373697
2024-08-01_01,6,ridge,mean_shift,0.10206982789358189,0.14863826044444253,0.0386701372392011,0.08659832066142921,0.14351986954373697
2024-08-01_01,6,ridge,full_map,0.07639772812972986,0.1474017733969764,0.03867013723920581,0.05402867547853698,0.1422388951253298
2024-08-01_02,6,ridge,template,0.5562021554689293,0.5754914646223513,0.5562021554689293,0.12131501588389403,0.1477483945932955
2024-08-01_02,6,ridge,mean_shift,0.21439418380880643,0.2593668522489621,0.21317029797942955,0.12131501588389282,0.1477483945932955
2024-08-01_02,6,ridge,full_map,0.21317029797942483,0.2670790066236779,0.21317029797942483,0.08737091412897849,0.16090251656967272
2024-08-01_03,6,ridge,template,0.4313414813116261,0.4435460272516188,0.4313414813116261,0.08017931306343988,0.10333249629514359
2024-08-01_03,6,ridge,mean_shift,0.5657510445839755,0.575110293107718,0.5657510445839755,0.0801793130634382,0.10333249629514359
2024-08-01_03,6,ridge,full_map,0.5657510445839701,0.5787933253017417,0.5657510445839701,0.07647696188285165,0.1221780216159779
2024-08-01_04,6,ridge,template,0.25752912176106435,0.26758038024776243,0.25752912176106435,0.05265136900360505,0.07264992318311163
2024-08-01_04,6,ridge,mean_shift,0.42146476459324334,0.42768044043672376,0.42146476459324334,0.05265136900360689,0.07264992318311164
2024-08-01_04,6,ridge,full_map,0.4214647645932383,0.4313482632122006,0.4214647645932383,0.06790052879566731,0.0918083677153021
